"","1","estimate","SE","df","z.ratio","p.value"
"1","Phacelia tancetifolia brome - Plantago insularis brome",-0.492191433773608,0.0785638397875735,Inf,-6.26485970014234,5.59253710008534e-09
"2","Phacelia tancetifolia brome - Salvia columbariae brome",1.67972570201197,0.159938557417755,Inf,10.5023186974519,6.17284001691587e-14
"3","Phacelia tancetifolia brome - Phacelia tancetifolia nobrome",-0.14172741958732,0.0847193296470268,Inf,-1.67290534731343,0.549824732099769
"4","Phacelia tancetifolia brome - Plantago insularis nobrome",-0.420978224333192,0.0796748932714873,Inf,-5.28369988396137,1.88649684795816e-06
"5","Phacelia tancetifolia brome - Salvia columbariae nobrome",1.32688897373411,0.135302204436979,Inf,9.80685406609281,6.16173778666962e-14
"6","Plantago insularis brome - Salvia columbariae brome",2.17191713578557,0.155066958403122,Inf,14.0063180328805,0
"7","Plantago insularis brome - Phacelia tancetifolia nobrome",0.350464014186288,0.0751184681377671,Inf,4.66548403973758,4.52641617356697e-05
"8","Plantago insularis brome - Plantago insularis nobrome",0.0712132094404164,0.0693794498201455,Inf,1.02643087578562,0.909231692684241
"9","Plantago insularis brome - Salvia columbariae nobrome",1.81908040750772,0.129507165689892,Inf,14.0461757294847,0
"10","Salvia columbariae brome - Phacelia tancetifolia nobrome",-1.82145312159929,0.158274601506589,Inf,-11.5081832730026,0
"11","Salvia columbariae brome - Plantago insularis nobrome",-2.10070392634516,0.1556328155758,Inf,-13.4978212568674,0
"12","Salvia columbariae brome - Salvia columbariae nobrome",-0.352836728277859,0.190210859815453,Inf,-1.854976780086,0.430293800182572
"13","Phacelia tancetifolia nobrome - Plantago insularis nobrome",-0.279250804745872,0.0762797217549992,Inf,-3.66087864927969,0.0034277024273377
"14","Phacelia tancetifolia nobrome - Salvia columbariae nobrome",1.46861639332143,0.133331143618823,Inf,11.0148038444792,4.13002965160558e-14
"15","Plantago insularis nobrome - Salvia columbariae nobrome",1.7478671980673,0.130184168241321,Inf,13.4261118051413,0
